PubAddress,Longitude,Latitude,PubName,DayofQuiz,QuizWinnings,QuizEntryCost,EntryCost,QuizStartTime,PubPhoneNumber,PubWebsite,Frequency,SmartphoneQuiz,VerifiedOngoing
"17 John Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1HP",-4.247819867,55.86005252,Katie’s Bar ,Thursday,"Various prizes, including £150 cash for winners","£5 per team, max team size of 5",pay,8:00pm,0141 548 6983,https://katiesbar.co.uk/,Last Week of the Month,No,Yes
"1365 Shettleston Road, Shettleston, Glasgow, Lanarkshire, Scotland, G32 9AT",-4.160224537,55.8514337,The Kirkhouse ,Thursday,Varies from quiz to quiz,free,free,8:30pm,0141 343 9407,https://www.kirkhouseglasgow.co.uk/index,Weekly,No,Yes
"1008 Argyle Street, City Centre, Glasgow, Lanarkshire, Scotland, G3 8LX",-4.281903535,55.86400626,Lebowskis – West ,Wednesday,"£20 food/drink voucher for winners; also, a cash jackpot which increases by £20 each week if not won",free,free,9:00pm,0141 564 7988,https://www.lebowskis.co.uk/,Weekly,No,Yes
"500 Great Western Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8HN",-4.282441954,55.87553719,Kitty O’Shea’s,Monday," An air fryer or mystery prize for winners. There is also a jackpot round for a cash prize, which rolls over if not won",free,free,8:00pm,0141 339 9398,https://kitty-osheas.com/west-end/,Weekly,Yes,Yes
"76 Sauchiehall Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 3DE",-4.255651186,55.86457339,Lauders,Sunday,1st – £30 voucher (plus a pineapple as a trophy); 2nd and 3rd – toys and sweets; last – booby prize,free,free,8:00pm,0141 332 9690,https://www.thelaudersglasgow.co.uk/#/ ,Weekly,No,No
"1100 Crow Road, Anniesland, Glasgow, Lanarkshire, Scotland, G13 1JT",-4.320715464,55.89484904,Lock 27 ,Tuesday,1st – meal for 4; 2nd – bottle of house wine; 3rd – 4 bottles of the beer of the week,free,free,7:30pm,0141 954 1144,https://www.lock27glasgow.co.uk/,Weekly,Yes,Yes
"7 Allerdyce Court, Knightswood, Glasgow, Lanarkshire, Scotland, G15 6SA",-4.376029322,55.90271085,Leven Valley ,Wednesday,Food/drink voucher for winners,free.?Maximum team size is 4,free,8:00pm,0141 944 3366,https://www.stonehouserestaurants.co.uk/nationalsearch/scotland-and-northern-ireland/levenvalleyglasgow#/,Last Week of the Month,No,No
"372 Great Western Road, Firhill, Glasgow, Lanarkshire, Scotland, G4 9HT",-4.276206523,55.87361406,Machair ,Sunday,"£25 bar tab for winners; also, there is a spot prize and a cash jackpot (which increases by £5 per week if not won)",free,free,7:30pm,0141 337 3111,https://www.machairbar.com/,Weekly,No,Yes
"16 Newlandsfield Road, South Side, Glasgow, Lanarkshire, Scotland, G43 2XU",-4.288217707,55.82333806,Loks ,Thursday,Meal for 2 for winners.  There are also other opportunities to win cash prizes throughout the night with bingo and “Play Your Cards Right”,free,free,8:00pm,0141 632 5727,https://loksbarandkitchen.co.uk/,Weekly,No,No
"26 Candleriggs, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1LD",-4.245891359,55.85796282,Nonna Said ,Sunday,1st – £50 voucher (plus a pineapple as a trophy); 2nd and 3rd – toys and sweets; last – booby prize,free,free,6:00pm,0141 648 4848,https://nonnasaid.com/,Weekly,No,Yes
"380 Duke Street, East End, Glasgow, Lanarkshire, Scotland, G31 1DN",-4.218432579,55.85841448,Palais ,Thursday,1st – £50 tab; 2nd – £20 tab; 3rd – bottle of wine,free,free,8:00pm,0141 572 7323,https://thepalaisbar.co.uk/,Weekly,No,Yes
"1179 Pollokshaws Road, South Side, Glasgow, Lanarkshire, Scotland, G41 3NG",-4.282671792,55.82993554,Phillies ,Tuesday,"£50 cash, plus other prizes",free,free,8:00pm,0141 616 6555,https://www.philliesbar.co.uk/,Weekly,No,Yes
"Byres Road, Dowanhill, Glasgow, Lanarkshire, Scotland, G12 8UB",-4.2935287,55.87541804,Òran Mór ,Wednesday, £50 voucher for winners; other prizes also available,free,free,8:30pm, 0141 357 6200,https://oran-mor.co.uk/,Weekly,No,No
"22 University Gardens, West End, Glasgow, Lanarkshire, Scotland, G12 8QN",-4.291537611,55.87358334,Queen Margaret Union ,Thursday,Vary week to week,£1 per head,pay,7:00pm,0141 339 9784,https://www.qmunion.org.uk/,Weekly,No,Yes
"1860 Paisley Road West, North Cardonald, Glasgow, Lanarkshire, Scotland, G52 3TN",-4.345184067,55.84558237,Quo Vadis,Monday,£25 voucher for winners,free,free,8:00pm, 0141 883 6538,https://www.belhaven.co.uk/pubs/glasgow/quo-vadis,Weekly,No,No
"304 Duke Street, East End, Glasgow, Lanarkshire, Scotland, G31 1RZ",-4.22345225,55.85826847,Redmond’s ,Wednesday,1st – £50 cash; 2nd – £25 meal voucher,free,free,9:00pm,0141 572 5664,https://www.facebook.com/redmondsofdennistoun/?locale=en_GB,Weekly,No,Yes
"71 Byres Road, Partick West, Glasgow, Lanarkshire, Scotland, G11 5HN",-4.297903583,55.87163559,Rum Bongo ,Tuesday,"£50 cash for winners, with the chance to gamble for a jackpot prize",free,free,7:30pm,07901 019071,https://www.rumbongobar.co.uk/,Weekly,Yes,Yes
"165 Allison Street, South Side, Glasgow, Lanarkshire, Scotland, G42 8RX",-4.263189009,55.83660284,Ryan’s Bar ,Thursday,1st – £40 cash; 2nd – drinks,free,free,8:00pm,0141 237 1120,https://www.facebook.com/people/Ryans-Bar-Glasgow/100093036051411/,Weekly,No,No
"377 Argyle Street, Anderston, Glasgow, Lanarkshire, Scotland, G2 8LT",-4.263778346,55.85893004,Players Bar ,Thursday,"Bottle of prosecco or bucket of beers for the winners. Also, there is a £50 bar tab for answering the bonus question correctly",free,free,6:00pm,0141 471 1111,https://www.facebook.com/playersglasgow,Weekly,No,Yes
"92 West George Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 1PJ",-4.255327454,55.86220218,Shilling Brewing Co.,Monday,"£50 bar tab for winners, plus other goodies",Free. Maximum team size is 6,free,7:00pm,0141 353 1654,https://shillingbrewingcompany.co.uk/,Weekly,No,Yes
"7 Peel Street, Partick West, Glasgow, Lanarkshire, Scotland, G11 5LL",-4.309519308,55.8710303,Stumps,Monday,£30 voucher for winners,free,free,6:30pm,0141 334 7737,https://www.belhaven.co.uk/pubs/glasgow/stumps,Weekly,No,Yes
"19 Hope Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 6AB",-4.259296704,55.85887431,Solid Rock Cafe ,Wednesday,"Case of beer for winners, plus other small prizes.  There is also a cash jackpot, which rolls over if not won",free,free,8:30pm,0141 221 1105,http://www.solidrockglasgow.com/,Weekly,No,Yes
"778 Pollokshaws Road, Strathbungo, Glasgow, Lanarkshire, Scotland, G41 2AE",-4.271456247,55.83573745,Stag & Thistle ,Wednesday,£50 voucher for winners,£1 per head,pay,8:00pm,0141 423 5109,https://www.stagandthistleglasgow.com/,Weekly,No,No
"962 Pollokshaws Road, South Side, Glasgow, Lanarkshire, Scotland, G41 2ET",-4.277223053,55.83257003,Sweeney’s on the Park ,Sunday,"2 bottles of wine for winners; also, there is a cash jackpot",free,free,8:00pm,0141 632 6741,https://sweeneysonthepark.com/,Weekly,No,Yes
"108 Argyle Street, Merchant City, Glasgow, Lanarkshire, Scotland, G2 8BH",-4.254255875,55.85813787,Sloans ,Thursday,Case of beer and other prizes,free,free,7:00pm,0141 221 8886,https://www.sloansglasgow.co.uk/,Weekly,No,Yes
"1046 Argyle Street, Kelvingrove Park, Glasgow, Lanarkshire, Scotland, G3 8LU",-4.282964433,55.86434137,Taphouse ,Tuesday,"Case of beer for winners; there is also a jackpot round for a cash prize, which rolls over if not won",free,free,8:00pm,0141 237 7931,https://www.taphousefinnieston.com/,Weekly,No,Yes
"191 Byres Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8TN",-4.295035966,55.87405687,Tennent’s ,Sunday,1st – £20 voucher; 2nd – bottle of house wine; 3rd – packet of peanuts,free,free,7:00pm,0141 339 7203,https://www.thetennentsbarglasgow.co.uk/#/,Weekly,No,Yes
"131 Byres Road, West End, Glasgow, Lanarkshire, Scotland, G12 8TT",-4.296264211,55.87309302,The Aragon,Monday,1st – £50 cash; 2nd – bottle of wine; last – booby prize,free,free,8:45pm,0141 339 3252,https://www.facebook.com/p/Aragon-Bar-100063705603452/?locale=en_GB,Weekly,No,Yes
"108 Brunswick Street, Merchant City, Glasgow, Lanarkshire, Scotland, G1 1TF",-4.247023419,55.85908365,The Amsterdam,Wednesday,1st – £50 bar tab; 2nd – £25 bar tab; 3rd- bottle of wine,free,free,8:00pm,0141 552 5108,https://thedamglasgow.com/,Weekly,No,Yes
"21 Dixon Avenue, South Side, Glasgow, Lanarkshire, Scotland, G42 8EB",-4.264191317,55.83527406,The Bell Jar,Monday,1st - £60 bar tab; 2nd - £25 bar tab; other small prizes,free,free,8:00pm,0141 423 3989,https://www.facebook.com/thebelljarglasgow/#,Weekly,No,Yes
"443 Clarkston Road, South Side, Glasgow, Lanarkshire, Scotland, G44 3LL",-4.270801956,55.81031774,The Bank,Thursday,Winners receive a Bank voucher and have the chance to win the rolling cash jackpot,£1 per head,pay,8:00pm,0141 637 8461,https://www.greatukpubs.co.uk/bank-glasgow,Weekly,No,Yes
"46 North Frederick Street, City Centre, Glasgow, Lanarkshire, Scotland, G1 2BS",-4.248448476,55.86224472,The Ark,Monday,1st – jackpot ; 2nd – £30 bar tab; 3rd – 2x pitchers of beer/cocktails,£1 per head,pay,8:00pm,0141 559 4331,https://www.socialpubandkitchen.co.uk/ark-glasgow,Weekly,Yes,Yes
"6 North Court, Merchant City, Glasgow, Lanarkshire, Scotland, G1 2DP",-4.252614567,55.86084205,The Auctioneers,Thursday,£30 bar tab for winners,free,free,8:00pm,0141 222 2989,https://www.theauctioneersglasgow.co.uk/#/,Weekly,No,Yes
"17 Nithsdale Road, Pollokshields, Glasgow, Lanarkshire, Scotland, G41 2AL",-4.271144692,55.83661185,The Bungo,Tuesday,Cash for winners; there is also a jackpot where cash or vouchers can be won – this rolls over if not won,free,free,7:30pm,0141 423 0023,https://thebungo.co.uk/,Weekly,No,Yes
"153 Bath Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 4",-4.260813723,55.86429403,The Butterfly and the Pig,Monday,"1st –  £25 voucher, 2nd – £15 voucher",free,free,7:30pm,0141 221 7711,https://www.thebutterflyandthepig.com/,Weekly,No,Yes
"182 Queen Margaret Drive, Kelvinside, Glasgow, Lanarkshire, Scotland, G20 8NX",-4.282676161,55.88201708,The Brewhaus,Tuesday,"Prizes for 1st, 2nd and 3rd",£2 per head,pay,8:00pm, 0141 946  9456,https://www.thebrewhaus.co.uk/,Weekly,No,Yes
"22 Lugar Place, South Side, Glasgow, Lanarkshire, Scotland, G44 5HB",-4.227554353,55.81542978,The Croft,Monday,£20 voucher for winners.  Regular teams can compete for a jackpot which rolls over if not won,free,free,8:30pm,0141 633 5791,https://www.facebook.com/croft445/,Weekly,No,Yes
"1 Lynedoch Street, Park District, Glasgow, Lanarkshire, Scotland, G3 6EF",-4.273926377,55.86843858,The Drake,Wednesday,"£100 voucher for winners, plus other prizes",free,free,8:00pm,0141 332 7363,https://thedrakepub.co.uk/,Weekly,No,No
"1041 Pollokshaws Road, South Side, Glasgow, Lanarkshire, Scotland, G41 3YF",-4.278981185,55.83150727,The Corona,Thursday,1st – £75 voucher; 2nd – £25 voucher,£1 per head,pay,8:00pm,0141 632 6230,https://corona-bar.com/,Weekly,No,Yes
"74 Park Road, Woodlands, Glasgow, Lanarkshire, Scotland, G4 9JF",-4.279175963,55.87311686,The Doublet,Tuesday,"1st – £30 bar tab; 2nd – £15 bar tab.  There is also a jackpot prize, which rolls over if not won (capped at £100)",free,free,8:00pm,0141 334 1982,https://www.facebook.com/thedoubletbar/?locale=en_GB,Weekly,No,No
"142 Renfield Street, City Centre, Glasgow, Lanarkshire, Scotland, G2 3AU",-4.255160822,55.86557879,The Flying Duck,Thursday,"Vary from week to week, but usually include gig tickets",free,free,7:00pm,0141 564 1450,https://www.theflyingduck.org/,Weekly,No,No
"24 Ashton Lane, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8SJ",-4.293337793,55.8743326,The Gardener,Thursday,£50 bar tab,free,free,8:00pm,0141 341 1230,https://thegardenerglasgow.co.uk/,Weekly,No,Yes
"508 Great Western Road, Hillhead, Glasgow, Lanarkshire, Scotland, G12 8EL",-4.28234017,55.87563677,The French Horn,Wednesday,Winners receive a £75 voucher or a case of wines,free,free,8:00pm,0141 732 9424,https://www.thefrenchhornglasgow.co.uk/,Weekly,Yes,Yes
"1006A Pollokshaws Road, South Side, Glasgow, Lanarkshire, Scotland, G41 2",-4.278217224,55.83199588,The Glad Café,Tuesday,1st – bottle of spirits; 2nd – bottle of house wine; 3rd – a cake,Free.?Maximum team size is 6,free,8:00pm,0141 636 6119,https://www.thegladcafe.co.uk/,Weekly,No,No
"1487 Great Western Road, Jordanhill, Glasgow, Lanarkshire, Scotland",-4.321570814,55.88867061,The Esquire House,Monday,Winners receive half the entry fees – the other half goes to charity,£2 per head,pay,7:00pm,0141 341 1130,https://www.jdwetherspoon.com/pubs/the-esquire-house-glasgow,Weekly,No,No
"10 Kilmarnock Road, South Side, Glasgow, Lanarkshire, Scotland, G41 3NH",-4.282464452,55.82929022,The Granary,Sunday,£30 voucher for winners,free ,free,6:30pm,0141 649 0594,https://www.thegranaryglasgow.co.uk/#/,Weekly,No,Yes
"8 Kelvingrove Street, West End, Glasgow, Lanarkshire, Scotland, G3 7RX",-4.284253569,55.86494172,The Grove,Sunday,"1st - £15 voucher; 2nd - £10 voucher, 3rd - £5 voucher",free,free,8:30pm,0141 243 2565,https://www.belhaven.co.uk/pubs/glasgow/grove,Weekly,No,No
"10 Plean Street, Garscadden, Glasgow, Lanarkshire, Scotland, G14 0YH",-4.364243617,55.88306391,The Gulf of Corryvrechan,Sunday,£20 voucher for winners,free,free,6:30pm,0141 237 2729,https://www.facebook.com/corryvrechan.bar,Fortnightly,No,Yes
"266 Bath Street, Blythswood Hill, Glasgow, Lanarkshire, Scotland, G2 4JP",-4.267774188,55.86523686,The Griffin,Thursday,"£50 bar tab for winners, plus various other prizes",free,free,8:00pm,0141 332 2833,https://thegriffinglasgow.co.uk/,Last Week of the Month,No,No
"241 North Street, West End, Glasgow, Lanarkshire, Scotland, G3 7DL",-4.271752296,55.86605455,The Locale,Monday,Bottle of spirits for winners; there is also a card game at the end of the quiz which everyone can enter for the chance to win a £50 bar tab,free,free,7:30pm,0141 221 9036,https://www.thelocaleglasgow.com/,Weekly,No,Yes
"100 Saint James Road, City Centre, Glasgow, Lanarkshire, Scotland, G4 0PS",-4.23938432,55.86373955,The Howgait,Monday,"£30 bar tab, plus various smaller prizes",free,free,8:00pm,0141 564 1218,https://www.greatukpubs.co.uk/howgait-glasgow,Weekly,No,Yes
"1256 Argyle Street, West End, Glasgow, Lanarkshire, Scotland, G3 8",-4.289166872,55.86633965,The Islay Inn,Wednesday,£50 cash,free,free,7:30pm,0141 334 7774,https://www.islayinnglasgow.com/,Weekly,No,Yes
"2377 Paisley Road West, Glasgow, Lanarkshire, Scotland, G52 3QH",-4.366284497,55.84517783,The Mulroy Bay,Sunday,"£20 voucher for winners; there is also a cash jackpot, which starts at £50 and increases by £20 each time it is not won",free,free,6:00pm,0141 883 8111,https://themulroybay.wixsite.com/website,Fortnightly,No,Yes
